date,activity
2021-11-16,1784116
2021-11-17,2123372
2021-11-18,2454345
2021-11-19,2741910
2021-11-20,3036709
2021-11-21,3336921
2021-11-22,3669782
2021-11-23,3903730
2021-11-24,4152661
2021-11-25,4387092
2021-11-26,4727808
2021-11-27,5076663
2021-11-28,5422846
2021-11-29,5756637
2021-11-30,6097084
2021-12-01,6449727
2021-12-02,6778156
2021-12-03,7117926
2021-12-04,7466279
2021-12-05,7805222
2021-12-06,8147185
2021-12-07,8486593
2021-12-08,8835002
2021-12-09,9182350
2021-12-10,9521194
2021-12-11,9870492
2021-12-12,10208482
2021-12-13,10528125
2021-12-14,10871344
2021-12-15,11222703
2021-12-16,11565056
2021-12-17,11907434
2021-12-18,12252219
2021-12-19,12595965
2021-12-20,12939232
2021-12-21,13285886
2021-12-22,13629769
2021-12-23,10462619
2021-12-24,10720348
2021-12-25,10975608
2021-12-26,11235426
2021-12-27,11494570
2021-12-28,11753530
2021-12-29,11951166
